time,asset,scope,active_power,active_energy
2021-08-15 05:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,41954.75,119514000.0
2021-08-15 05:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,38761.86,119524000.0
2021-08-15 05:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,29891.86,119531000.0
2021-08-15 05:45:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,54310.1,119545000.0
2021-08-15 06:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,34424.3,119553000.0
2021-08-15 06:15:09+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,37787.59,119563000.0
2021-08-15 06:30:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,47777.35,119575000.0
2021-08-15 06:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,31476.49,119583000.0
2021-08-15 07:00:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,41046.19,119593000.0
2021-08-15 07:15:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,45171.96,119604000.0
2021-08-15 07:30:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,76839.24,119623000.0
2021-08-15 07:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,61758.93,119639000.0
2021-08-15 08:00:09+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,29127.52,119646000.0
2021-08-15 08:15:09+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,42195.58,119657000.0
2021-08-15 08:30:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,24175.84,119663000.0
2021-08-15 08:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,20529.68,119668000.0
2021-08-15 09:00:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,18308.97,119672000.0
2021-08-15 09:15:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,14579.88,119676000.0
2021-08-15 09:30:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,11590.7,119679000.0
2021-08-15 09:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,12166.35,119682000.0
2021-08-15 10:00:09+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,9578.28,119684000.0
2021-08-15 10:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,5038.44,119686000.0
2021-08-15 10:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,2561.16,119686000.0
2021-08-15 10:45:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,1152.18,119687000.0
2021-08-15 11:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,96.32,119687000.0
2021-08-15 11:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,0.0,119687000.0
2021-08-15 11:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,0.0,119687000.0
2021-08-15 11:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 12:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 12:15:16+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 12:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 12:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 13:00:16+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 13:15:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 13:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 13:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 14:00:16+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 14:15:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 14:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 14:45:16+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 15:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 15:15:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 15:30:16+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 15:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 16:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 16:15:16+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 17:00:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 17:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 17:30:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 17:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 18:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 18:15:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 18:30:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 18:45:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 19:00:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 19:15:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 19:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 19:45:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 20:00:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 20:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 20:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 20:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 21:00:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 21:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 21:30:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 21:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 22:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 22:15:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,,
2021-08-15 22:30:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,0.0,119687000.0
2021-08-15 22:45:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,828.38,119687000.0
2021-08-15 23:00:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,4410.11,119688000.0
2021-08-15 23:15:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,10594.81,119691000.0
2021-08-15 23:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,17821.71,119695000.0
2021-08-15 23:45:12+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,25752.63,119702000.0
2021-08-16 00:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,32737.47,119710000.0
2021-08-16 00:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,39130.23,119720000.0
2021-08-16 00:30:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,45666.81,119731000.0
2021-08-16 00:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,51744.36,119744000.0
2021-08-16 01:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,57542.56,119759000.0
2021-08-16 01:15:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,63258.04,119774000.0
2021-08-16 01:30:09+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,67414.37,119791000.0
2021-08-16 01:45:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,71595.5,119809000.0
2021-08-16 02:00:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,75024.18,119828000.0
2021-08-16 02:15:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,78578.12,119847000.0
2021-08-16 02:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,82357.15,119866000.0
2021-08-16 02:45:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,85346.09,119886000.0
2021-08-16 03:00:09+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,88905.83,119908000.0
2021-08-16 03:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,93223.68,119930000.0
2021-08-16 03:30:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,94592.93,119953000.0
2021-08-16 03:45:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,95550.92,119976000.0
2021-08-16 04:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,96447.55,119999000.0
2021-08-16 04:15:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,85209.9,120019000.0
2021-08-16 04:30:09+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,50000.84,120030000.0
2021-08-16 04:45:10+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,52056.82,120042000.0
2021-08-16 05:00:15+00,ABB-115179-3Q15-4020,b107e879-e80b-499d-9e12-2b8c0a6cb4bf,74308.56,120060000.0
